2022-05-06 16:46:52> c1=0 c=&
2022-05-06 16:46:56> c1=4 c=J
2022-05-06 16:46:56> c1=7 c=T
2022-05-06 16:46:57> c1=3 c=G
2022-05-06 16:46:57> c1=7 c=T
2022-05-06 16:46:58> c1=6 c=P
2022-05-06 16:46:58> c1=7 c=T
2022-05-06 16:46:58> c1=4 c=J
2022-05-06 16:46:59> c1=7 c=T
2022-05-06 16:46:59> c1=4 c=J
2022-05-06 16:46:59> c1=7 c=T
2022-05-06 16:46:59> c1=1 c=A
2022-05-06 16:47:01> c1=7 c=T
2022-05-06 16:47:02> c1=4 c=J
2022-05-06 16:47:02> c1=7 c=T
2022-05-06 16:47:03> c1=3 c=G
2022-05-06 16:47:03> c1=7 c=T
2022-05-06 16:47:04> c1=3 c=G
2022-05-06 16:47:04> c1=7 c=T
2022-05-06 16:47:06> c1=7 c=T
2022-05-06 16:47:08> c1=3 c=G
2022-05-06 16:47:08> c1=4 c=J
2022-05-06 16:47:12> c1=9 c=*
2022-05-06 16:47:13> c1=9 c=*
2022-05-06 16:47:13> c1=9 c=*
2022-05-06 16:47:13> c1=9 c=*
2022-05-06 16:47:13> c1=9 c=*
2022-05-06 16:47:13> c1=9 c=*
2022-05-06 16:47:13> c1=9 c=*
2022-05-06 16:47:14> c1=9 c=*
2022-05-06 16:47:14> c1=9 c=*
2022-05-06 16:47:14> c1=9 c=*
2022-05-06 16:47:14> c1=9 c=*
2022-05-06 16:47:14> c1=9 c=*
2022-05-06 16:47:14> c1=9 c=*
2022-05-06 16:47:15> c1=9 c=*
2022-05-06 16:47:15> c1=9 c=*
2022-05-06 16:47:15> c1=9 c=*
2022-05-06 16:47:15> c1=9 c=*
2022-05-06 16:47:15> c1=9 c=*
2022-05-06 16:47:15> c1=9 c=*
2022-05-06 16:47:15> c1=9 c=*
2022-05-06 16:47:16> c1=9 c=*
2022-05-06 16:47:16> c1=9 c=*
2022-05-06 16:47:16> c1=9 c=*
2022-05-06 16:47:18> c1=11 c=#
